feature,p.value_tx,FDR_tx,logFC_tx,p.value_time,FDR_time,p.value_interaction,FDR_interaction,tx,time,Mean_Ice_15,Mean_Ice_30,Mean_Ice_60,Mean_Ice_90,Mean_RT_15,Mean_RT_30,Mean_RT_60,Mean_RT_90
HILIC_151.024163820467_186.14000319154,0.9727975667163185,0.9999999999999998,-0.011386965184379646,0.9754922438707485,1,0.47588413007298613,1,Ice,60,NA,NA,23.56627626502774,NA,NA,NA,NA,NA
HILIC_151.024163820467_186.14000319154,0.9727975667163185,0.9999999999999998,-0.011386965184379646,0.9754922438707485,1,0.47588413007298613,1,Ice,90,NA,NA,NA,23.42341464578776,NA,NA,NA,NA
HILIC_151.024163820467_186.14000319154,0.9727975667163185,0.9999999999999998,-0.011386965184379646,0.9754922438707485,1,0.47588413007298613,1,RT,15,NA,NA,NA,NA,23.5186102714345,NA,NA,NA
HILIC_151.024163820467_186.14000319154,0.9727975667163185,0.9999999999999998,-0.011386965184379646,0.9754922438707485,1,0.47588413007298613,1,RT,30,NA,NA,NA,NA,NA,23.811201625481555,NA,NA
HILIC_151.024163820467_186.14000319154,0.9727975667163185,0.9999999999999998,-0.011386965184379646,0.9754922438707485,1,0.47588413007298613,1,RT,60,NA,NA,NA,NA,NA,NA,23.24676188458763,NA
HILIC_151.024163820467_186.14000319154,0.9727975667163185,0.9999999999999998,-0.011386965184379646,0.9754922438707485,1,0.47588413007298613,1,RT,90,NA,NA,NA,NA,NA,NA,NA,23.47660734767975
C18_151.026156447712_27.6074604220987,0.04197747154140704,0.9728307619644055,0.7281543885812769,0.33269180339299426,1,0.472902562100308,1,Ice,15,27.468435156734124,NA,NA,NA,NA,NA,NA,NA
C18_151.026156447712_27.6074604220987,0.04197747154140704,0.9728307619644055,0.7281543885812769,0.33269180339299426,1,0.472902562100308,1,Ice,30,NA,27.70877510401398,NA,NA,NA,NA,NA,NA
C18_151.026156447712_27.6074604220987,0.04197747154140704,0.9728307619644055,0.7281543885812769,0.33269180339299426,1,0.472902562100308,1,Ice,60,NA,NA,27.83703674656668,NA,NA,NA,NA,NA
C18_151.026156447712_27.6074604220987,0.04197747154140704,0.9728307619644055,0.7281543885812769,0.33269180339299426,1,0.472902562100308,1,Ice,90,NA,NA,NA,28.107092753487322,NA,NA,NA,NA
C18_151.026156447712_27.6074604220987,0.04197747154140704,0.9728307619644055,0.7281543885812769,0.33269180339299426,1,0.472902562100308,1,RT,15,NA,NA,NA,NA,28.1965895453154,NA,NA,NA
C18_151.026156447712_27.6074604220987,0.04197747154140704,0.9728307619644055,0.7281543885812769,0.33269180339299426,1,0.472902562100308,1,RT,30,NA,NA,NA,NA,NA,28.94427403142062,NA,NA
